Nerves,50686.45,8093.41,199.18,289.29
Nerves,43182.23,3999.59,265.58,142.27
Nerves,39976.32,6086.27,66.39,175.47
Nerves,48296.24,8069.7,99.59,71.14
Nerves,50197.97,8254.65,251.35,213.41
Nerves,70895.29,7776.44,246.61,194.44
Nerves,38482.44,6313.91,147.02,147.02
Nerves,54295.47,13329.1,180.21,213.41
Nerves,47608.58,7154.4,113.82,161.24
Nerves,47030.48,6341.12,70.66,197.71
Nerves,71924.41,8587.41,137.53,113.82
Nerves,46688.49,6327,353.04,317.74
Nerves,43220.17,4160.83,175.47,109.08
Nerves,39739.19,6683.83,85.36,132.79
Nerves,43443.06,3534.82,90.11,170.73
Nerves,40384.17,5014.47,384.14,417.34
