Nerves,54582.48,6802.34,102.18,137.73
Nerves,41760.03,17401.55,79.97,97.74
Nerves,55200.03,6144.81,222.14,168.83
Nerves,63753.3,11507.91,71.08,102.18
Nerves,56110.8,6900.08,199.93,266.57
Nerves,52751.6,6413.79,115.51,128.84
Nerves,64681.84,11703.39,155.5,204.37
Nerves,63562.26,11601.21,186.6,244.35
Nerves,41144.34,16124.02,132.28,108.23
Nerves,55999.73,6891.2,48.87,102.18
Nerves,41537.89,17197.19,195.48,324.32
Nerves,55848.67,7037.81,79.97,84.41
Nerves,46985.31,21610.16,226.58,168.83
Nerves,54248.82,6667.02,84.41,88.86
Nerves,63651.11,11196.92,88.86,155.5
Nerves,46354.43,20957.07,88.86,88.86
Nerves,63260.15,10774.85,75.53,71.08
Nerves,58473.03,19549.42,119.91,65.7
Nerves,62710.27,9647.95,40.82,48.54
Nerves,55853.12,6749.03,133.28,244.35
Nerves,54079.99,6444.88,146.61,137.73
