Nerves,41797.63,4249.39,72.92,82.64
Nerves,43627.57,2497.28,92.36,102.08
Nerves,43617.84,2317.42,126.39,111.8
Nerves,42779.56,5683.39,63.19,106.94
Nerves,59676.81,7603.12,137.51,137.51
Nerves,40344.18,5780.61,72.92,87.5
Nerves,71128.7,31341.43,150.69,170.14
Nerves,58966.89,8156.6,359.72,369.44
Nerves,66128.99,13302.32,131.25,102.08
Nerves,41802.49,4380.63,155.55,72.92
Nerves,49261.51,2959.08,335.41,233.33
Nerves,43037.19,5313.95,77.78,72.92
Nerves,40470.57,5838.94,87.5,68.05
Nerves,42624.01,6242.41,306.25,267.36
Nerves,59882.87,7309.7,175,97.22
Nerves,40407.37,5809.78,53.47,58.33
