Nerves,51625.72,8584.51,140.42,81.45
Nerves,47174.93,5333.73,192.35,171.44
Nerves,41992.78,20470.34,317.79,313.61
Nerves,49549.99,7675.34,213.25,221.62
Nerves,40803.48,2437.47,129.62,146.35
Nerves,41731.76,2462.56,87.81,121.26
Nerves,40443.88,2450.01,150.53,121.26
Nerves,45000.57,4137.83,91.99,100.35
Nerves,43049.95,21051.2,112.9,133.81
Nerves,44939.97,22585.79,217.44,217.44
Nerves,38921.5,2289.46,609.1,193.24
Nerves,44446.56,22268,213.25,200.71
Nerves,40280.8,2504.37,50.18,33.45
Nerves,52089.12,8955.23,50.55,42.13
Nerves,42606.72,20545.24,91.99,100.35
