Nerves,29803.3,34235.16,79.85,42.03
Nerves,45130.27,10610.79,107.69,112.82
Nerves,41588.39,8028,44.57,86.59
Nerves,54879.98,5983.97,134.49,142.9
Nerves,46171.3,9400.53,153.85,102.56
Nerves,45386.68,10580.02,312.82,82.05
Nerves,41639.78,8319.04,125.86,99.44
Nerves,43427.09,20083.64,142.9,100.87
Nerves,41061.03,8040.48,129.89,80.23
Nerves,41459.54,8196.28,110.32,88.57
Nerves,45104.63,9267.19,297.44,92.31
Nerves,41880.63,8435.57,96.34,62.15
Nerves,38993.23,17502.38,94.23,61.12
Nerves,40186.72,32574.38,403.47,147.1
Nerves,46581.56,9338.99,266.67,210.26
Nerves,44453.35,9682.58,148.72,107.69
Nerves,43612.01,20071.03,79.85,100.87
Nerves,55544.02,6605.99,105.07,142.9
Nerves,41113.24,7883.85,138.8,142.62
Nerves,55955.9,20849.31,105.07,71.45
Nerves,44181.89,25078.55,121.88,121.88
Nerves,42977.39,19238.87,302.6,268.98
Nerves,46366.18,9964.63,200,82.05
Nerves,37971.84,18452.95,147.1,105.07
Nerves,44270.15,23929.69,130.29,273.18
Nerves,56867.91,20408.01,54.64,63.04
Nerves,41714.37,8373.42,147.61,99.44
